OBJECTID,Request__,Status,Request_Type,Subrequest_Type,Additional_Subrequest_Type,Request_Origin,Contact_Type,Preferred_Language,State_Issue,Parent_Request,Address,City,Council_District,Latitude,Longitude,Date_Time_Opened,Date_Time_Closed,ZIP,GlobalID
34,699398,Closed,Electric & Water General,Water Outage,Water Outage,Phone,,,False,,"804 40th Ave N, Nashville, TN 37209, United States",NASHVILLE,21.0,36.1585029,-86.8341372,2021-06-03 21:27:17,2021-06-04 19:07:11,37209,647f7476-8c35-4b31-98a3-1101680b6481
35,697450,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-02 15:37:11,2021-06-02 15:37:11,,1189da89-2a58-457b-8253-5d1be3e306dd
36,696376,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-01 16:04:53,2021-06-01 16:04:53,,407a7f48-9066-47b2-9c4b-50ff5128d698
37,701284,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Backdoor,Phone,,,False,,"4826 Post Rd, Nashville, TN 37205, United States",NASHVILLE,23.0,36.11711,-86.86183,2021-06-07 13:52:52,2021-06-08 20:22:30,37205,295d480b-5c1d-4814-bf3e-cec171151f85
38,706394,Closed,Property Violations,Junk and Debris,Junk and Debris,hubNashville Community,,,False,,", Nashville, TN 37217, United States",NASHVILLE,29.0,36.07236242210704,-86.63627629140166,2021-06-14 12:47:39,2021-06-15 15:00:12,37217,f61f8c3a-b87c-464e-9ddd-d31d76ff7a02
39,695645,Closed,Public Safety,Abandoned Vehicles,Abandoned Vehicles,hubNashville Community,,,False,,"2631 Pennington Ave,Nashville,TN 37216,United States",NASHVILLE,7.0,36.19787025545652,-86.73038612381572,2021-05-29 20:25:53,2021-06-12 07:19:12,37216,dd9fa8b6-308c-4311-830a-9c86b91f2f7b
40,700804,Closed,Public Safety,Improperly Parked Vehicles,Improperly Parked Vehicles,,,,,,"1100 Petway Ave, Nashville, TN 37206, United States",NASHVILLE,6.0,36.186285,-86.746726,2021-06-05 22:24:17,2021-06-05 22:43:24,37206,e3de0e81-7d64-4461-969a-54272f4ed86f
41,703940,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-09 19:32:04,2021-06-09 19:32:04,,2b622452-28ca-4532-a86a-52d14045ee7d
42,708115,Closed,"Trash, Recycling & Litter",File a Trash or Recycling Complaint,Trash collection Complaint,,,,,,"4103 Edwards Ave, Nashville, TN 37216, United States",NASHVILLE,5.0,36.2242546,-86.737453,2021-06-15 18:49:54,2021-06-23 20:13:13,37216,93493656-d3e8-4d11-a4e3-1889369face6
43,707766,Closed,Public Safety,Lost/Stolen Property,Lost/Stolen Property,Phone,,,False,,"3501 Andrew Jackson Way, Nashville, TN 37076, United States",HERMITAGE,12.0,36.1828219,-86.60776539999999,2021-06-15 15:23:44,2021-06-15 15:30:20,37076,96fed4d3-91d2-43bf-8e51-bae45524ae3d
