Forecast_Number,Start_Time,End_Time,Temperature,Temperature_Unit,Precipitation_Probability,Wind_Speed,Wind_Direction,Short_Forecast,Latitude,Longitude
130,2026-09-29T02:00:00-05:00,2026-09-29T03:00:00-05:00,63,F,3,0 mph,,Mostly Clear,36.1627,-86.7816
131,2026-09-29T03:00:00-05:00,2026-09-29T04:00:00-05:00,62,F,3,0 mph,,Mostly Clear,36.1627,-86.7816
132,2026-09-29T04:00:00-05:00,2026-09-29T05:00:00-05:00,62,F,3,0 mph,,Mostly Clear,36.1627,-86.7816
133,2026-09-29T05:00:00-05:00,2026-09-29T06:00:00-05:00,61,F,3,0 mph,,Mostly Clear,36.1627,-86.7816
134,2026-09-29T06:00:00-05:00,2026-09-29T07:00:00-05:00,61,F,3,0 mph,,Sunny,36.1627,-86.7816
135,2026-09-29T07:00:00-05:00,2026-09-29T08:00:00-05:00,62,F,6,0 mph,,Sunny,36.1627,-86.7816
136,2026-09-29T08:00:00-05:00,2026-09-29T09:00:00-05:00,66,F,6,5 mph,SSE,Sunny,36.1627,-86.7816
137,2026-09-29T09:00:00-05:00,2026-09-29T10:00:00-05:00,71,F,6,5 mph,S,Sunny,36.1627,-86.7816
138,2026-09-29T10:00:00-05:00,2026-09-29T11:00:00-05:00,76,F,6,5 mph,S,Sunny,36.1627,-86.7816
139,2026-09-29T11:00:00-05:00,2026-09-29T12:00:00-05:00,81,F,6,5 mph,S,Sunny,36.1627,-86.7816
140,2026-09-29T12:00:00-05:00,2026-09-29T13:00:00-05:00,85,F,6,5 mph,S,Sunny,36.1627,-86.7816
141,2026-09-29T13:00:00-05:00,2026-09-29T14:00:00-05:00,88,F,14,5 mph,S,Sunny,36.1627,-86.7816
142,2026-09-29T14:00:00-05:00,2026-09-29T15:00:00-05:00,90,F,14,5 mph,S,Sunny,36.1627,-86.7816
143,2026-09-29T15:00:00-05:00,2026-09-29T16:00:00-05:00,90,F,14,10 mph,S,Sunny,36.1627,-86.7816
144,2026-09-29T16:00:00-05:00,2026-09-29T17:00:00-05:00,89,F,14,10 mph,S,Sunny,36.1627,-86.7816
145,2026-09-29T17:00:00-05:00,2026-09-29T18:00:00-05:00,88,F,14,10 mph,S,Sunny,36.1627,-86.7816
146,2026-09-29T18:00:00-05:00,2026-09-29T19:00:00-05:00,86,F,14,5 mph,SSE,Mostly Clear,36.1627,-86.7816
147,2026-09-29T19:00:00-05:00,2026-09-29T20:00:00-05:00,84,F,15,5 mph,SSE,Slight Chance Rain Showers,36.1627,-86.7816
148,2026-09-29T20:00:00-05:00,2026-09-29T21:00:00-05:00,81,F,15,10 mph,SSE,Slight Chance Rain Showers,36.1627,-86.7816
149,2026-09-29T21:00:00-05:00,2026-09-29T22:00:00-05:00,78,F,15,10 mph,SSE,Slight Chance Rain Showers,36.1627,-86.7816
150,2026-09-29T22:00:00-05:00,2026-09-29T23:00:00-05:00,75,F,15,10 mph,SSE,Slight Chance Rain Showers,36.1627,-86.7816
151,2026-09-29T23:00:00-05:00,2026-09-30T00:00:00-05:00,74,F,15,10 mph,SSE,Slight Chance Rain Showers,36.1627,-86.7816
152,2026-09-30T00:00:00-05:00,2026-09-30T01:00:00-05:00,73,F,15,10 mph,S,Slight Chance Rain Showers,36.1627,-86.7816
153,2026-09-30T01:00:00-05:00,2026-09-30T02:00:00-05:00,73,F,20,10 mph,S,Slight Chance Rain Showers,36.1627,-86.7816
154,2026-09-30T02:00:00-05:00,2026-09-30T03:00:00-05:00,72,F,20,10 mph,S,Slight Chance Rain Showers,36.1627,-86.7816
155,2026-09-30T03:00:00-05:00,2026-09-30T04:00:00-05:00,71,F,20,10 mph,S,Slight Chance Rain Showers,36.1627,-86.7816
156,2026-09-30T04:00:00-05:00,2026-09-30T05:00:00-05:00,70,F,20,10 mph,S,Slight Chance Rain Showers,36.1627,-86.7816
